node_id,lat,lon,thetao,so,zos,uo,vo
0,10.0,80.0,0.1434625889397733,1.6652719494318193,-1.1650129392588309,-0.08805086502115664,0.340119153861284
1,10.0,80.08334,0.26901872024306267,1.6476866286407443,-1.1239025120744541,-0.15262609573863706,0.3228986181372791
2,10.0,80.16669,0.3691006658292072,1.6097495091403233,-1.0658469093325935,-0.2538560949327936,0.23109471899849734
3,10.0,80.25,0.4118360484257311,1.5669333953830318,-0.9961429570291926,-0.35269934835206196,0.2783326988914609
4,10.0,80.33334,0.23390084612602127,1.5540672523953944,-0.928613933383766,-0.421841740852151,0.3047385935694058
5,10.0,80.41669,-2.457657484176943,1.806764619852075,-0.8913490728204134,-0.4235321273699287,0.6461715266128593
6,10.0,80.5,-2.6836152128604476,1.815683112742568,-0.8404933819883718,-0.32431934365452864,0.7367116477404277
7,10.0,80.58334,-2.214028682523295,1.7932904395530518,-0.7950346844820876,-0.061547312645275104,0.20905316605636665
8,10.0,80.66669,-1.6408388811912014,1.7231438752860166,-0.7785970669602036,0.24901798543323403,-0.3116712347794957
9,10.0,80.75,-0.9993621764339842,1.584178876589206,-0.7716175605170114,0.40044529153345493,-0.6059585367354968
10,10.0,80.83334,-0.33609243726544946,1.3800014170041253,-0.769180964547323,0.43615651259948346,-0.7060202599328628
11,10.0,80.91669,0.235883202816614,1.1782138563377913,-0.7701335343827587,0.4442341359353939,-0.6957586546995611
12,10.0,81.0,0.6987596233155107,1.0048479067943603,-0.7755959678745918,0.4669337572883127,-0.628334920175266
13,10.0,81.08334,0.9983455337894366,0.8588050598777616,-0.7846254038568203,0.5111398707148789,-0.503416868968755
14,10.0,81.16669,1.2678532415769093,0.7259094124703833,-0.7940056588748738,0.5724497351206422,-0.37984049411649645
15,10.0,81.25,1.3763724478240749,0.6358519224690439,-0.8064633753977265,0.6193576538308425,-0.2640647036816621
16,10.0,81.33334,1.475516060724429,0.5599703355853035,-0.8166959395688108,0.6500033077398473,-0.13764328908337864
17,10.0,81.41669,1.5160886380369265,0.49328462417217706,-0.8246159733632389,0.7222227934459026,0.02727833320392597
18,10.0,81.5,1.4987320611867412,0.5458403567359372,-0.8335957457672181,0.7895876554890572,0.16571135157234998
19,10.0,81.58334,1.1858754455851186,0.769726675275119,-0.8340125650846639,0.8139169519664864,0.31115756629362185
20,10.0,81.66669,0.48891079835052786,0.9965962342785841,-0.819639813516327,0.9194092044811398,0.765335779472818
21,10.0,81.75,0.022108332026173065,1.060846122504731,-0.7738021044918276,1.1592926716388319,1.20949892927767
22,10.0,81.83334,-0.21124778898765273,1.0413632109503443,-0.7130458113012071,1.4085356918864367,1.3652470177358735
23,10.0,81.91669,-0.40405711105945996,0.9955565088458318,-0.6474775654707048,1.4766768802172616,1.2846777601358628
24,10.0,82.0,-0.5569125367105078,0.9191128089189513,-0.5783887133873822,1.3143611785027414,1.036272488943927
25,10.0,82.08334,-0.5844696147631547,0.8395774872547351,-0.528847707090076,1.1807404859178698,0.6890570609699778
26,10.0,82.16669,-0.740163239005037,0.7986258987876339,-0.5108749995668299,1.0003719357838339,0.32395277781983467
27,10.0,82.25,-0.8254690226269419,0.7750171509753461,-0.48941146526719487,0.39033406953959976,-0.2623581542605433
28,10.0,82.33334,-0.21377149145851046,0.42582003716984534,-0.4534750120694087,-0.28525759933298156,0.029370993829346576
29,10.0,82.41669,0.30520639673539457,0.11160435696140346,-0.4175867288084209,-0.5822279302667026,0.5743398457601819
30,10.0,82.5,0.6214812242638437,-0.15068383467268698,-0.3695936951699924,-0.6070793659095506,0.7238016498784406
31,10.0,82.58334,0.6536474749599112,-0.30379534495542454,-0.32629461649680896,-0.5364452610072372,0.7434895054517645
32,10.0,82.66669,0.596455582193209,-0.3875667211212795,-0.2883142083257914,-0.4759904074815503,0.7925960238726713
33,10.0,82.75,0.6361078716792586,-0.41046088731989316,-0.2562774662516317,-0.43352966272547694,0.6538718506743072
34,10.0,82.83334,0.7020876109456249,-0.41594791888814947,-0.23558353070967317,-0.37646652850378814,0.4230551422321589
