src,dst,weight
0,1,0.1114180289672469
0,121,0.10791512778011011
0,122,0.07751631949125264
0,2,0.05570567551414558
0,242,0.05395756680147325
0,123,0.04949980424898445
1,0,0.1114180289672469
1,2,0.11140466147878396
1,122,0.10791512778011011
1,121,0.07751631949125264
1,123,0.07751181751553092
1,3,0.05571570293628512
2,3,0.11145815068732115
2,1,0.11140466147878396
2,123,0.10791512778011011
2,124,0.07752982688360727
2,122,0.07751181751553092
2,4,0.05571904621259617
3,2,0.11145815068732115
3,4,0.1114180289672469
3,124,0.10791512778011011
3,123,0.07752982688360727
3,125,0.07751631949125264
3,1,0.05571570293628512
4,3,0.1114180289672469
4,5,0.11140466147880654
4,125,0.10791512778011011
4,124,0.07751631949125264
4,126,0.07751181751553851
4,2,0.05571904621259617
5,6,0.11145815068727596
5,4,0.11140466147880654
5,126,0.10791512778011011
5,127,0.07752982688359207
5,125,0.07751181751553851
5,7,0.05571904621259052
6,5,0.11145815068727596
6,7,0.11141802896726948
6,127,0.10791512778011011
6,126,0.07752982688359207
6,128,0.07751631949126023
6,4,0.05571570293627947
7,6,0.11141802896726948
7,8,0.11140466147880654
7,128,0.10791512778011011
7,127,0.07751631949126023
7,129,0.07751181751553851
7,5,0.05571904621259052
8,9,0.11145815068727596
8,7,0.11140466147880654
8,129,0.10791512778011011
8,130,0.07752982688359207
8,128,0.07751181751553851
8,10,0.05571904621259052
9,8,0.11145815068727596
9,10,0.11141802896726948
9,130,0.10791512778011011
9,129,0.07752982688359207
9,131,0.07751631949126023
9,7,0.05571570293627947
10,9,0.11141802896726948
10,11,0.11140466147878396
10,131,0.10791512778011011
10,130,0.07751631949126023
10,132,0.07751181751553092
10,8,0.05571904621259052
11,12,0.11145815068732115
11,10,0.11140466147878396
11,132,0.10791512778011011
11,133,0.07752982688360727
11,131,0.07751181751553092
11,13,0.05571904621259617
12,11,0.11145815068732115
12,13,0.1114180289672469
12,133,0.10791512778011011
12,132,0.07752982688360727
12,134,0.07751631949125264
12,10,0.05571570293628512
13,12,0.1114180289672469
13,14,0.11140466147878396
13,134,0.10791512778011011
13,133,0.07751631949125264
13,135,0.07751181751553092
13,11,0.05571904621259617
14,15,0.11145815068734376
14,13,0.11140466147878396
14,135,0.10791512778011011
14,136,0.07752982688361487
14,134,0.07751181751553092
14,16,0.05571904621260182
15,14,0.11145815068734376
15,16,0.1114180289672469
15,136,0.10791512778011011
15,135,0.07752982688361487
15,137,0.07751631949125264
15,13,0.055715702936290766
16,15,0.1114180289672469
16,17,0.11140466147878396
16,137,0.10791512778011011
16,136,0.07751631949125264
16,138,0.07751181751553092
16,14,0.05571904621260182
17,18,0.11145815068729856
17,16,0.11140466147878396
17,138,0.10791512778011011
17,139,0.07752982688359968
17,137,0.07751181751553092
17,19,0.05571904621260182
18,17,0.11145815068729856
18,19,0.11141802896729205
18,139,0.10791512778011011
18,138,0.07752982688359968
18,140,0.07751631949126785
18,16,0.05571570293627947
19,18,0.11141802896729205
19,20,0.1114046614787614
19,140,0.10791512778011011
19,139,0.07751631949126785
19,141,0.0775118175155233
19,17,0.05571904621260182
20,21,0.11145815068732115
